"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Todd Gurley II (FA)","256","1,251","4.9","36","11","17","59","81","580","9.8","4","1","14","342.6","24.5","5.5%"
"2","Saquon Barkley (NYG)","261","1,307","5.0","78","16","11","91","121","721","7.9","4","0","16","340.3","21.3","99.8%"
"3","Christian McCaffrey (CAR)","219","1,098","5.0","59","6","7","107","124","867","8.1","6","1","16","332.0","20.8","99.9%"
"4","Alvin Kamara (NO)","194","883","4.6","49","1","14","81","105","709","8.8","4","0","15","313.7","20.9","99.9%"
"5","Ezekiel Elliott (DAL)","304","1,435","4.7","41","11","6","77","95","567","7.4","3","1","15","290.7","19.4","99.6%"
"6","James Conner (ARI)","215","973","4.5","30","9","12","55","71","497","9.0","1","2","13","252.5","19.4","73.8%"
"7","Melvin Gordon III (DEN)","175","885","5.1","34","9","10","50","66","490","9.8","4","0","12","250.5","20.9","81.9%"
"8","James White (NE)","94","425","4.5","27","5","5","87","123","751","8.6","7","0","16","233.1","14.6","24.9%"
"9","Joe Mixon (CIN)","237","1,168","4.9","51","11","8","43","55","296","6.9","1","0","14","221.9","15.9","98.6%"
"10","David Johnson (HOU)","258","940","3.6","53","2","7","50","76","446","8.9","3","2","16","221.7","13.9","84.0%"
"11","Kareem Hunt (CLE)","181","824","4.6","45","7","7","26","35","378","14.5","7","0","11","217.2","19.7","92.0%"
"12","Phillip Lindsay (HOU)","192","1,037","5.4","65","8","9","35","47","241","6.9","1","0","15","205.3","13.7","15.0%"
"13","Tarik Cohen (CHI)","99","444","4.5","32","7","3","71","90","725","10.2","5","3","16","198.4","12.4","25.6%"
"14","Derrick Henry (TEN)","215","1,059","4.9","99","4","12","15","18","99","6.6","0","1","16","193.8","12.1","99.9%"
"15","Chris Carson (SEA)","247","1,151","4.7","61","8","9","20","24","163","8.2","0","2","14","191.4","13.7","97.0%"
"16","Nick Chubb (CLE)","192","996","5.2","92","11","8","20","29","149","7.5","2","0","16","184.5","11.5","99.8%"
"17","Kenyan Drake (LV)","120","535","4.5","54","4","4","53","73","477","9.0","5","1","16","179.7","11.2","77.8%"
"18","Adrian Peterson (FA)","251","1,042","4.2","90","5","7","20","26","208","10.4","1","2","16","179.0","11.2","0.6%"
"19","Tevin Coleman (NYJ)","167","800","4.8","65","8","4","32","44","276","8.6","5","0","16","177.6","11.1","15.0%"
"20","Jordan Howard (PHI)","250","935","3.7","42","5","9","20","27","145","7.3","0","1","16","170.0","10.6","0.3%"
"21","Marlon Mack (IND)","195","908","4.7","49","7","9","17","26","103","6.1","1","2","12","169.6","14.1","4.4%"
"22","Lamar Miller (WAS)","210","973","4.6","97","6","5","25","35","163","6.5","1","1","14","160.1","11.4","0.2%"
"23","Aaron Jones (GB)","133","729","5.5","67","4","8","26","35","206","7.9","1","1","12","158.5","13.2","99.7%"
"24","Austin Ekeler (LAC)","106","554","5.2","41","4","3","39","53","404","10.4","3","1","14","149.3","10.7","99.3%"
"25","Matt Breida (BUF)","153","814","5.3","66","10","3","27","31","261","9.7","2","1","14","149.0","10.6","0.8%"
"26","T.J. Yeldon (FA)","104","414","4.0","20","1","1","55","77","487","8.9","4","1","14","145.6","10.4","0.0%"
"27","Peyton Barber (WAS)","234","871","3.7","28","4","5","20","29","92","4.6","1","1","16","140.3","8.8","0.7%"
"28","Sony Michel (NE)","209","931","4.5","34","4","6","7","11","50","7.1","0","1","13","135.6","10.4","7.4%"
"29","Dalvin Cook (MIN)","133","615","4.6","70","4","2","40","49","305","7.6","2","2","11","132.0","12.0","99.9%"
"30","Mark Ingram II (HOU)","138","645","4.7","38","3","6","21","27","170","8.1","1","1","12","132.0","11.0","2.8%"
"31","Dion Lewis (FA)","155","517","3.3","36","2","1","59","67","400","6.8","1","1","16","131.2","8.2","0.1%"
"32","Isaiah Crowell (FA)","143","685","4.8","77","6","6","21","28","152","7.2","0","0","13","130.2","10.0","0.1%"
"33","Nyheim Hines (IND)","85","314","3.7","18","0","2","63","81","425","6.7","2","0","16","129.4","8.1","55.5%"
"34","Kerryon Johnson (PHI)","118","641","5.4","71","6","3","32","39","213","6.7","1","1","10","123.4","12.3","1.7%"
"35","Jalen Richard (LV)","55","259","4.7","30","3","1","68","81","607","8.9","0","2","16","122.6","7.7","0.5%"
"36","Latavius Murray (NO)","140","578","4.1","38","6","6","22","26","141","6.4","0","0","16","120.9","7.6","22.8%"
"37","Mike Davis (ATL)","112","514","4.6","37","2","4","34","42","214","6.3","1","0","15","119.8","8.0","88.1%"
"38","Doug Martin (FA)","172","723","4.2","29","2","4","18","24","116","6.4","0","3","16","110.9","6.9","0.0%"
"39","LeSean McCoy (FA)","161","514","3.2","28","3","3","34","46","238","7.0","0","0","14","110.2","7.9","0.1%"
"40","Leonard Fournette (TB)","133","439","3.3","25","2","5","22","26","185","8.4","1","0","8","109.4","13.7","85.8%"
"41","Duke Johnson Jr. (FA)","40","201","5.0","23","1","0","47","62","429","9.1","3","0","16","108.5","6.8","1.6%"
"42","Wendell Smallwood (FA)","87","364","4.2","15","0","3","28","35","230","8.2","2","1","16","103.4","6.5","0.0%"
"43","Alex Collins (SEA)","114","411","3.6","19","0","7","15","21","105","7.0","1","3","10","101.1","10.1","0.1%"
"44","Jamaal Williams (DET)","121","464","3.8","20","1","3","27","41","210","7.8","0","0","16","100.9","6.3","36.5%"
"45","Frank Gore (FA)","156","722","4.6","39","5","0","12","16","124","10.3","1","0","14","96.6","6.9","0.2%"
"46","Royce Freeman (DEN)","130","521","4.0","24","2","5","14","20","72","5.1","0","1","14","94.3","6.7","0.3%"
"47","Carlos Hyde (JAC)","172","571","3.3","22","1","5","10","16","33","3.3","0","1","14","93.4","6.7","1.2%"
"48","Gus Edwards (BAL)","137","718","5.2","43","4","2","2","2","20","10.0","0","0","11","88.8","8.1","19.0%"
"49","Alfred Blue (FA)","150","499","3.3","17","0","2","20","27","154","7.7","0","0","16","87.3","5.5","0.0%"
"50","Damien Williams (CHI)","50","256","5.1","25","3","4","23","24","160","7.0","2","1","16","87.1","5.4","2.4%"
"51","Theo Riddick (LV)","40","171","4.3","19","0","0","61","75","384","6.3","0","0","14","86.0","6.1","0.0%"
"52","Ito Smith (FA)","90","315","3.5","18","0","4","27","32","152","5.6","0","0","14","84.2","6.0","0.5%"
"53","LeGarrette Blount (FA)","154","418","2.7","27","2","5","10","15","67","6.7","0","1","16","81.5","5.1","0.1%"
"54","Josh Adams (NYJ)","120","511","4.3","29","4","3","7","13","58","8.3","0","1","16","78.4","4.9","0.1%"
"55","Giovani Bernard (TB)","56","211","3.8","23","2","3","35","48","218","6.2","0","0","12","78.4","6.5","7.1%"
"56","Elijah McGuire (KC)","92","276","3.0","34","1","3","19","31","193","10.2","1","2","8","76.4","9.6","0.0%"
"57","Javorius Allen (FA)","41","110","2.7","17","0","3","35","43","196","5.6","2","1","14","76.1","5.4","0.1%"
"58","Jaylen Samuels (PIT)","56","256","4.6","25","1","0","26","29","199","7.7","3","0","14","74.8","5.3","0.5%"
"59","Chris Ivory (FA)","115","385","3.3","21","2","1","13","21","206","15.8","0","0","13","71.6","5.5","0.0%"
"60","Marshawn Lynch (FA)","90","376","4.2","52","1","3","15","20","84","5.6","0","0","6","71.5","11.9","0.3%"
"61","Chris Thompson (FA)","43","178","4.1","16","0","0","41","55","268","6.5","1","0","10","71.1","7.1","0.1%"
"62","Corey Clement (NYG)","68","259","3.8","32","2","2","22","25","192","8.7","0","0","11","70.1","6.4","0.1%"
"63","Spencer Ware (FA)","51","246","4.8","34","2","2","20","23","224","11.2","0","0","13","69.0","5.3","0.0%"
"64","Devontae Booker (NYG)","34","183","5.4","26","1","1","38","51","275","7.2","0","1","16","68.8","4.3","4.8%"
"65","Rashaad Penny (SEA)","85","419","4.9","38","4","2","9","12","75","8.3","0","0","14","65.9","4.7","6.6%"
